iter	Logloss
0	0.6821146985
1	0.6719066686
2	0.6617755012
3	0.6527287488
4	0.6436794564
5	0.6350136918
6	0.6275081596
7	0.6193056782
8	0.6120364845
9	0.604950423
10	0.5978900386
11	0.5915321195
12	0.5849949721
13	0.5790077197
14	0.5733987415
15	0.5678967435
16	0.5625906364
17	0.5576135343
18	0.5526849287
19	0.5480479372
20	0.5437026352
21	0.5393162838
22	0.5356065644
23	0.5317952055
24	0.5279497218
25	0.5244727964
26	0.5211013848
27	0.5178933466
28	0.5145609803
29	0.5111712526
30	0.5075483157
31	0.5045512599
32	0.5016084128
33	0.4984919087
34	0.4954443004
35	0.4926834316
36	0.4900235852
37	0.4874420961
38	0.4851416778
39	0.4828529657
40	0.4806658611
41	0.4788504166
42	0.4766018045
43	0.4744315467
44	0.4724205833
45	0.4705347117
46	0.4687532361
47	0.4671334003
48	0.4654258005
49	0.4638717348
50	0.4623705933
51	0.4607303207
52	0.4593421044
53	0.4580864578
54	0.4566763762
55	0.4551515561
56	0.4537593002
57	0.4523348478
58	0.4508573919
59	0.4494339524
60	0.4483227321
61	0.4470127321
62	0.4458348961
63	0.4446871782
64	0.4436303127
65	0.4424668407
66	0.4415351188
67	0.4404171004
68	0.4394184239
69	0.4384968165
70	0.4374823322
71	0.4367492793
72	0.4358893288
73	0.4352686134
74	0.434379967
75	0.4334634128
76	0.4324524515
77	0.4315534706
78	0.430766853
79	0.4301085566
80	0.429379528
81	0.4286627382
82	0.4278980865
83	0.4271756518
84	0.4265543944
85	0.4260402617
86	0.4254205198
87	0.4246477955
88	0.4240444893
89	0.4234846923
90	0.422787826
91	0.4224145524
92	0.4219285863
93	0.4213160023
94	0.4208361954
95	0.4202236276
96	0.4197585191
97	0.4192094765
98	0.4188011612
99	0.4183386834
100	0.4179216136
101	0.4174418955
102	0.4171424395
103	0.416659136
104	0.4161931761
105	0.415817197
106	0.4156711231
107	0.4152969261
108	0.4149740375
109	0.4145302655
110	0.414127185
111	0.4138646293
112	0.4135211657
113	0.4131322447
114	0.4126348659
115	0.4122054217
116	0.4119198906
117	0.4115342665
118	0.4110764029
119	0.4106898113
120	0.4103306546
121	0.4099548272
122	0.4096028911
123	0.4094501913
124	0.4092553053
125	0.409050107
126	0.408749386
127	0.4083975501
128	0.4080959475
129	0.407851437
130	0.4075075021
131	0.4072187125
132	0.4068681319
133	0.4065556256
134	0.4063051113
135	0.4059594112
136	0.405680958
137	0.4053206824
138	0.4050953744
139	0.4048810498
140	0.4046037374
141	0.4043770803
142	0.4042173229
143	0.4040290047
144	0.4037745551
145	0.4036345803
146	0.4033753859
147	0.4031679801
148	0.4030582981
149	0.4028416249
150	0.4026426021
151	0.4024454672
152	0.4022707781
153	0.4021132177
154	0.4020062905
155	0.4017949319
156	0.4015328023
157	0.4013307359
158	0.4011037364
159	0.4009070761
160	0.4007235674
161	0.4005033561
162	0.4003278996
163	0.4001166022
164	0.4001114298
165	0.4000326696
166	0.3999657611
167	0.3998171465
168	0.399548814
169	0.3993087137
170	0.3991641305
171	0.3991351024
172	0.3989506536
173	0.3987954759
174	0.3985783025
175	0.3985089821
176	0.398469465
177	0.3982520005
178	0.3981347154
179	0.3980666718
180	0.3980105175
181	0.3978998633
182	0.3977699991
183	0.3977421035
184	0.3975378442
185	0.397426702
186	0.3973145152
