iter	Passed	Remaining
0	20	3875
1	41	3797
2	66	4068
3	91	4172
4	112	4078
5	136	4124
6	160	4129
7	186	4163
8	221	4390
9	247	4381
10	275	4408
11	301	4391
12	326	4370
13	349	4316
14	372	4275
15	397	4250
16	424	4244
17	447	4200
18	473	4182
19	498	4161
20	521	4121
21	546	4097
22	569	4060
23	594	4037
24	620	4020
25	644	3992
26	668	3960
27	695	3951
28	707	3853
29	722	3780
30	745	3752
31	767	3719
32	793	3704
33	817	3680
34	841	3652
35	865	3628
36	881	3571
37	904	3544
38	926	3515
39	950	3491
40	976	3476
41	991	3421
42	1014	3395
43	1039	3378
44	1062	3352
45	1085	3326
46	1110	3306
47	1133	3281
48	1154	3252
49	1180	3234
50	1199	3198
51	1222	3174
52	1245	3148
53	1262	3108
54	1286	3086
55	1309	3064
56	1323	3017
57	1341	2983
58	1363	2958
59	1387	2936
60	1401	2894
61	1423	2869
62	1449	2853
63	1472	2830
64	1498	2812
65	1521	2789
66	1547	2771
67	1570	2747
68	1592	2722
69	1621	2709
70	1649	2695
71	1675	2676
72	1702	2658
73	1731	2644
74	1757	2624
75	1783	2605
76	1809	2585
77	1831	2559
78	1854	2535
79	1873	2505
80	1897	2482
81	1921	2459
82	1946	2438
83	1969	2414
84	1993	2392
85	2019	2371
86	2041	2346
87	2066	2324
88	2089	2300
89	2114	2278
90	2139	2257
91	2148	2218
92	2175	2199
93	2208	2185
94	2235	2164
95	2258	2140
96	2283	2118
97	2310	2098
98	2336	2076
99	2359	2052
100	2384	2029
101	2409	2007
102	2420	1974
103	2444	1951
104	2470	1929
105	2497	1908
106	2508	1875
107	2531	1851
108	2557	1829
109	2584	1809
110	2611	1788
111	2636	1765
112	2660	1742
113	2683	1718
114	2705	1693
115	2727	1669
116	2749	1645
117	2774	1622
118	2799	1599
119	2822	1575
120	2846	1552
121	2872	1530
122	2900	1509
123	2912	1479
124	2930	1453
125	2957	1431
126	2984	1409
127	3008	1386
128	3030	1362
129	3053	1338
130	3076	1314
131	3103	1293
132	3128	1270
133	3151	1246
134	3177	1224
135	3207	1202
136	3230	1178
137	3253	1155
138	3277	1131
139	3302	1108
140	3328	1085
141	3352	1062
142	3376	1038
143	3403	1016
144	3430	993
145	3455	970
146	3481	947
147	3505	923
148	3529	900
149	3557	877
150	3589	855
151	3616	832
152	3643	809
153	3668	786
154	3682	760
155	3706	736
156	3730	712
157	3755	689
158	3779	665
159	3804	641
160	3829	618
161	3858	595
162	3882	571
163	3907	548
164	3920	522
165	3942	498
166	3972	475
167	3998	452
168	4024	428
169	4048	404
170	4073	381
171	4085	356
172	4108	332
173	4131	308
174	4156	285
175	4180	261
176	4204	237
177	4227	213
178	4252	190
179	4278	166
180	4290	142
181	4317	118
182	4341	94
183	4365	71
184	4393	47
185	4418	23
186	4444	0
