iter	Passed	Remaining
0	37	7410
1	76	7612
2	114	7542
3	157	7731
4	195	7623
5	239	7742
6	275	7604
7	318	7639
8	358	7614
9	398	7567
10	434	7468
11	475	7447
12	518	7462
13	557	7407
14	598	7382
15	638	7338
16	673	7250
17	708	7161
18	746	7107
19	784	7063
20	823	7015
21	862	6978
22	900	6927
23	940	6894
24	981	6868
25	1017	6812
26	1055	6763
27	1093	6717
28	1132	6677
29	1171	6639
30	1209	6596
31	1251	6568
32	1289	6526
33	1333	6510
34	1370	6460
35	1414	6442
36	1454	6408
37	1493	6365
38	1535	6339
39	1577	6309
40	1619	6280
41	1658	6237
42	1697	6196
43	1736	6157
44	1780	6131
45	1817	6085
46	1863	6066
47	1905	6034
48	1949	6006
49	1992	5978
50	2033	5940
51	2072	5898
52	2111	5855
53	2150	5814
54	2192	5779
55	2230	5735
56	2256	5660
57	2289	5605
58	2328	5565
59	2370	5530
60	2411	5494
61	2455	5466
62	2496	5428
63	2536	5389
64	2574	5347
65	2613	5305
66	2654	5269
67	2695	5231
68	2736	5196
69	2777	5157
70	2816	5117
71	2853	5073
72	2893	5033
73	2931	4991
74	2971	4952
75	3014	4917
76	3055	4880
77	3091	4836
78	3129	4792
79	3168	4752
80	3207	4712
81	3249	4675
82	3288	4635
83	3326	4593
84	3365	4552
85	3404	4512
86	3445	4475
87	3485	4435
88	3521	4391
89	3561	4352
90	3597	4308
91	3635	4267
92	3675	4228
93	3711	4184
94	3751	4146
95	3792	4109
96	3831	4068
97	3868	4026
98	3905	3984
99	3947	3947
100	3989	3910
101	4033	3874
102	4072	3835
103	4113	3796
104	4150	3754
105	4189	3715
106	4226	3673
107	4268	3635
108	4310	3598
109	4349	3558
110	4388	3518
111	4427	3478
112	4467	3439
113	4507	3400
114	4546	3360
115	4585	3320
116	4623	3279
117	4664	3241
118	4704	3202
119	4742	3161
120	4780	3121
121	4819	3081
122	4859	3042
123	4897	3001
124	4935	2961
125	4976	2922
126	5016	2883
127	5056	2844
128	5091	2802
129	5128	2761
130	5166	2721
131	5203	2680
132	5242	2640
133	5282	2601
134	5319	2561
135	5355	2520
136	5397	2481
137	5435	2441
138	5473	2402
139	5513	2362
140	5550	2322
141	5589	2282
142	5626	2242
143	5665	2203
144	5703	2163
145	5741	2123
146	5784	2085
147	5820	2045
148	5858	2005
149	5898	1966
150	5935	1926
151	5978	1888
152	6021	1849
153	6062	1810
154	6102	1771
155	6142	1732
156	6181	1693
157	6221	1653
158	6260	1614
159	6301	1575
160	6340	1535
161	6376	1495
162	6414	1456
163	6453	1416
164	6493	1377
165	6535	1338
166	6573	1298
167	6613	1259
168	6654	1220
169	6693	1181
170	6732	1141
171	6772	1102
172	6812	1063
173	6852	1023
174	6892	984
175	6930	945
176	6967	905
177	7010	866
178	7052	827
179	7088	787
180	7128	748
181	7164	708
182	7200	668
183	7237	629
184	7275	589
185	7314	550
186	7353	511
187	7394	471
188	7433	432
189	7472	393
190	7513	354
191	7552	314
192	7591	275
193	7631	236
194	7672	196
195	7710	157
196	7750	118
197	7789	78
198	7829	39
199	7867	0
